ISCO_4d_name,Neuroticism,Extraversion,Openness,Agreeableness,Conscientiousness
Other Artistic and Cultural Associate Professionals,52.69,49.25,52.49,48.95,49.14
Information and Communications Technology Operations Technicians,50.22,46.39,52.27,50.52,48.26
Broadcasting and Audiovisual Technicians,50.4,45.95,54.07,50.43,47.74
General and Keyboard Clerks (unspecified),54.4,48.88,50.06,51.82,51.3
Secretaries (general),53.16,51.32,45.46,52.67,50.85
Data Entry Clerks,52.73,49.87,47.34,51.87,51.27
Unspecified Customer Services Clerks,53.28,51.74,46.54,50.94,49.61
Bank Tellers,53.34,53.3,48.34,50.84,49.58
Debt Collectors and Related Workers,52.36,51.43,47.36,50.54,50.27
Travel Consultants and Clerks,51.76,53.95,48.45,50.35,48.25
Hotel Receptionists,52.57,51.84,48.75,50.2,49.74
Inquiry Clerks,51.31,52.22,48.8,50.15,49.59
Receptionists (general),52.2,51.45,47.63,51,50.31
Survey and Market Research Interviewers,51.07,51.93,48.83,50.16,49.04
Accounting and Bookkeeping Clerks,51.71,52.65,45.47,50.53,52.62
Payroll Clerks,52.24,52.17,46.45,51.04,51.87
Stock Clerks,51.27,48.23,46.88,49.23,50.6
Transport Clerks,49.16,48.46,48.98,48.05,51.22
Mail Carriers and Sorting Clerks,51.29,47.09,47.45,48.97,46.88
Filing and Copying Clerks,52.57,48.44,46.75,51.81,49.1
Personnel Clerks,51.28,50.44,47.25,51.05,50.26
Travel Attendants and Travel Stewards,51.28,49.82,47.82,49.46,49.99
Travel Guides,52.15,51.41,52.23,50.02,48.72
Cook,51.58,49.58,47.11,49.85,50.74
Waiters,54.78,51.38,51.36,48.82,46.72
Hairdressers,51.81,54.68,46.9,51.03,51.29
Beauticians and Related Workers,52.11,53.87,48.64,49.38,50.62
Cleaning and Housekeeping Supervisors in Offices, Hotels and Other Establishments,49.39,51.05,47.02,51.2,50.98
Building Caretakers,50.3,48.93,46.98,50.57,50.95
Pet Groomers and Animal Care Workers,54.23,47.64,49.54,52.73,48.63
Driving Instructors,50.94,48.74,48.39,49.77,47.91
Unspecified Sales Workers,51,51.57,46.04,49.38,49.96
Stall and Market Salespersons,52.27,51.89,46.84,52.31,50.91
Shop Sales Assistants,52.53,50.37,45.65,51.59,49.74
Cashiers and Ticket Clerks,51.7,49.49,47.15,52.58,47.89
Contact Centre Salespersons,53.93,51.79,47.6,51.05,49.1
Sales Workers Not Elsewhere Classified,53.18,51.04,45.58,50.43,49.29
Child Care Workers,55.17,53.85,48.36,51.68,49.14
Teachers’ Aides,53.09,52.86,45.49,53.45,50.19
Health Care Assistants,53.57,50.48,49.26,52.85,49.74
Personal Care Workers in Health Services Not Elsewhere Classified,53.43,51.31,47.15,50.75,49.7
Firefighters,46.18,47.44,49.49,46.02,48.91
Police Officers,46.71,49.78,48.71,46.95,50.95
Prison Guards,47.6,48.22,49.49,47.29,49.48
Security Guards,49.08,47.85,50,47.63,50.18
Gardeners; Horticultural and Nursery Growers,52.25,47.67,51.3,52.08,48.57
Livestock and Dairy Producers,50.49,48.42,47.17,52.38,51.45
Mixed Crop and Animal Producers,49.27,46.99,48.54,50.85,49.55
Forestry and Related Workers,47.16,45.44,47.32,50.2,47.11
Unspecified Craftsmen/Skilled Workers,47.49,47.58,48.33,48.87,48.92
House Builders,46.21,44.63,48.06,46.95,49.44
Carpenters and Joiners,47.33,44.19,48.88,47.38,50.47
Building Finishers and Related Trades Workers (unspecified),48.89,47.19,49.1,46.33,50.02
Plumbers and Pipe Fitters,47.23,46.26,46.94,46.44,49.35
Painters and Related Workers,50.39,49.26,46.56,48.4,49.07
Spray Painters and Varnishers,49.51,49.33,46.98,48.23,48.9
Sheet and Structural Metal Workers, Moulders and Welders, and Related Workers,45.89,43.29,49.78,47.33,49.03
Welders and Flame Cutters,45.36,43.93,48,47.89,48.51
Sheet Metal Workers,46.21,43.75,49.83,46.87,50.35
Toolmakers and Related Workers,45.91,43.78,48.71,48.34,47.44
Machinery Mechanics and Repairers,45.16,44.36,50.3,47.54,48.73
Motor Vehicle Mechanics and Repairers,46.24,44.92,49.03,48.57,49.05
Handicraft Workers,53.54,49.67,49.1,50.27,49.37
Pre-press Technicians,51.82,48.76,47.32,49.12,48.41
Printers,51.65,47.58,47.84,49.95,47.79
Building and Related Electricians,43.94,42.87,48.42,47.95,47.38
Automotive Electricians,45,43.87,49.69,49,48.53
Electronics Mechanics and Servicers,46.08,45.9,50.1,49.31,46.72
Butchers,50.82,48.84,46.9,49.18,50.92
Bakers, Pastry-cooks and Confectionery Makers,52.75,49.83,46.32,50.89,49.55
Wood Treaters, Cabinet-makers and Related Trades Workers,48.41,46.96,45.98,48.86,50.14
Cabinet-makers and Related Workers,48.29,45.7,49.93,47.8,50.08
Tailors, Dressmakers, Furriers and Hatters,49.99,50.15,47.06,52.22,50.77
Garment and Related Patternmakers and Cutters,51.8,48.69,46.43,53.7,51.95
Sewing, Embroidery and Related Workers,51.76,49.07,44.99,52.17,51.52
Shoemakers and Related Workers,50.95,48.17,47.06,52.09,50.07
Product Graders and Testers (excluding Foods and Beverages),52.02,47.06,47.86,49.92,49.51
Unspecified Operators,50.14,46.29,47.62,47.5,49.78
Stationary Plant and Machine Operators,48.44,46.1,48.09,49.1,49.51
Electrical and Electronic Equipment Assemblers,50.4,46.2,45.7,50,49.07
Assemblers Not Elsewhere Classified,50.82,47.47,46.15,48.32,49.77
Car, Taxi and Van Drivers,46.36,46.36,45.44,47.06,48.5
Bus and Tram Drivers,47.8,47.73,45.3,48.09,48.68
Heavy Truck and Lorry Drivers,44.8,45.63,46.91,47.42,49.84
Mobile Farm and Forestry Plant Operators,46.01,45.38,46.64,48.61,49.73
Earthmoving and Related Plant Operators,44.44,46.24,47.7,48.46,50.21
Crane, Hoist and Related Plant Operators,46.4,45.8,46.02,47.73,50.43
Ships’ Deck Crews and Related Workers,45.86,47.21,47.77,46.7,50.36
Elementary Occupations,52.2,48.02,46.76,50.24,48.35
Domestic, Hotel and Office Cleaners and Helpers,52.52,49.22,45.45,51.48,50
Garden and Horticultural Labourers,51.24,47.8,46.57,51.08,49.11
Manufacturing Labourers,51.37,48.14,45.21,50.26,49.83
Transport and Storage Labourers,51.77,48.16,45.79,49.54,49.42
Kitchen Helpers,52.68,48.79,45.3,52.04,49.69
Elementary Workers Not Elsewhere Classified,50.91,47.48,47.38,50.85,48.33
